iter	Passed	Remaining
473	711	789
474	713	788
475	714	786
476	715	784
477	716	782
478	717	780
479	718	778
480	719	776
481	720	773
482	721	771
483	721	769
484	722	767
485	723	765
486	724	762
487	727	763
488	729	761
489	730	759
490	730	757
491	731	755
492	733	753
493	733	751
494	734	749
495	735	747
496	736	745
497	736	742
498	737	740
499	738	738
500	739	736
501	741	735
502	743	734
503	744	732
504	744	730
505	745	728
506	746	726
507	748	724
508	749	723
509	751	721
510	752	719
511	753	718
512	754	716
513	756	715
514	758	714
515	759	712
516	760	710
517	761	708
518	762	706
519	763	705
520	764	703
521	765	701
522	766	699
523	767	697
524	768	695
525	769	693
526	773	694
527	774	692
528	776	691
529	777	689
530	779	688
531	780	686
532	781	684
533	781	682
534	782	680
535	783	678
536	784	676
537	787	676
538	789	675
539	790	673
540	791	671
541	792	669
542	793	667
543	794	665
544	794	663
545	795	661
546	796	659
547	797	657
548	798	655
549	798	653
550	799	651
551	802	651
552	804	649
553	804	647
554	805	645
555	806	644
556	807	642
557	808	640
558	809	638
559	810	636
560	810	634
561	811	632
562	812	630
563	813	628
564	813	626
565	814	624
566	817	624
567	818	622
568	874	662
569	893	673
570	906	681
571	909	680
572	911	679
573	930	690
574	948	700
575	954	702
576	956	701
577	958	699
578	959	697
579	960	695
580	962	693
581	963	692
582	968	692
583	970	691
584	971	689
585	972	687
586	974	685
587	976	683
588	1027	716
589	1028	714
590	1030	712
591	1035	713
592	1036	711
593	1038	709
594	1039	707
595	1040	705
596	1041	703
597	1043	701
598	1044	699
599	1056	704
600	1058	702
601	1059	700
602	1060	698
603	1061	696
604	1063	694
605	1065	692
606	1066	690
607	1067	688
608	1074	689
609	1090	697
610	1091	695
611	1095	694
612	1097	692
613	1098	690
614	1100	688
615	1156	720
616	1157	718
617	1159	716
618	1161	714
619	1162	712
620	1163	710
621	1165	708
622	1173	710
623	1175	708
624	1176	706
625	1178	704
626	1193	710
627	1195	708
628	1196	706
629	1204	707
630	1205	705
631	1207	703
632	1209	701
633	1211	699
634	1212	696
635	1218	697
636	1221	696
637	1223	693
638	1224	691
639	1228	691
640	1235	691
641	1237	690
642	1238	687
643	1240	685
644	1241	683
645	1243	681
646	1244	679
647	1253	681
648	1256	679
649	1257	677
650	1259	675
651	1261	673
652	1267	673
653	1268	670
654	1269	668
655	1271	666
656	1272	664
657	1276	663
658	1278	661
659	1279	659
660	1282	657
661	1283	655
662	1285	653
663	1286	651
664	1287	648
665	1288	646
666	1292	645
667	1294	643
668	1295	641
669	1296	638
670	1297	636
671	1299	634
672	1300	631
673	1301	629
674	1303	627
675	1304	625
676	1309	624
677	1310	622
678	1312	620
679	1314	618
680	1315	616
681	1316	613
682	1317	611
683	1319	609
684	1323	608
685	1325	606
686	1326	604
687	1327	601
688	1329	599
689	1330	597
690	1331	595
691	1332	593
692	1333	590
693	1334	588
694	1335	586
695	1337	584
696	1338	581
697	1339	579
698	1340	577
699	1342	575
700	1343	572
701	1344	570
702	1345	568
703	1346	566
704	1347	563
705	1348	561
706	1350	559
707	1351	557
708	1352	555
709	1353	552
710	1354	550
711	1355	548
712	1357	546
713	1358	544
714	1359	541
715	1360	539
716	1360	537
717	1363	535
718	1365	533
719	1366	531
720	1366	528
721	1367	526
722	1368	524
723	1370	522
724	1371	520
725	1372	517
726	1372	515
727	1373	513
728	1374	510
729	1379	510
730	1380	508
731	1381	505
732	1383	503
733	1384	501
734	1385	499
735	1385	497
736	1386	494
737	1387	492
738	1388	490
739	1389	488
740	1392	486
741	1393	484
742	1395	482
743	1395	480
744	1397	478
745	1398	476
746	1399	473
747	1399	471
748	1400	469
749	1401	467
750	1402	464
751	1403	462
752	1403	460
753	1404	458
754	1408	456
755	1409	454
756	1410	452
757	1411	450
758	1412	448
759	1413	446
760	1414	444
761	1414	441
762	1415	439
763	1416	437
764	1417	435
765	1418	433
766	1419	431
767	1419	428
768	1423	427
769	1424	425
770	1425	423
